price,lat,lon,usable_area,land_area,garage,new,furnished,cellar,parkingLots,reconstructed
1642000,50.06790309200628,12.38565490799372,69,1334,0,0,0,0,1,0
21104000,50.13595709200628,14.48308190799372,220,305,0,1,0,0,0,0
11674000,50.13640709200628,14.15319490799372,149,216,0,1,0,0,1,0
9374000,49.64890009200628,15.61476690799372,171,2061,1,0,0,0,1,0
4282000,50.15364609200629,16.959434907993717,107,6107,0,0,0,1,1,0
8787000,50.14710309200628,14.34586990799372,197,483,1,0,0,1,0,0
17364000,49.74323409200628,18.47019490799372,527,4030,0,0,0,0,1,1
3496000,50.45573109200628,15.18410890799372,76,294,1,0,0,1,1,0
13962000,49.94954809200628,14.37139390799372,164,468,0,0,0,1,1,0
21694000,50.04607109200628,14.57068190799372,180,239,1,1,0,0,1,0
24521000,50.76035409200628,15.44314590799372,164,420,1,1,0,1,1,0
11721000,49.160203092006284,16.741274907993716,129,314,0,0,0,1,0,0
12612000,49.266828092006286,16.698021907993716,269,1993,1,0,0,1,1,0
41065000,50.07063809200629,14.49577290799372,484,523,0,0,0,0,0,0
8787000,50.16349509200628,17.635626907993718,253,585,0,0,0,0,1,0
3044000,49.712270092006285,13.58905090799372,36,608,0,0,0,0,1,0
20286000,49.98943809200628,14.77183690799372,175,416,1,1,0,0,1,0
20872000,49.98943809200628,14.77183690799372,190,524,1,1,0,0,1,0
40807000,49.98943809200628,14.77183690799372,366,926,1,1,0,0,1,0
5104000,49.86029909200628,16.322250907993716,120,84,0,0,0,0,1,0
5602000,49.86029909200628,16.322250907993716,141,151,0,0,0,1,1,0
14072000,49.54971009200628,16.08591590799372,164,2658,1,0,1,0,1,0
8682000,49.94645809200628,14.69707290799372,129,443,0,0,0,0,0,0
9961000,49.76758709200628,13.78928190799372,187,1205,1,0,1,1,1,0
9034000,50.13456409200628,14.10501690799372,117,291,1,0,0,1,0,0
17482000,50.34380409200628,15.64509290799372,827,2972,1,0,0,1,1,0
11134000,49.93667309200628,15.30192390799372,114,813,0,1,0,0,1,0
8553000,50.68992709200628,15.43792390799372,408,536,0,0,0,1,1,0
22280000,50.01847609200628,14.31115390799372,156,544,1,0,0,0,0,0
29332000,50.03996009200628,14.77070890799372,484,4668,0,0,0,1,1,0
13111000,50.436235092006285,14.90904790799372,194,99,1,0,0,0,0,0
24287000,49.98676809200628,14.76751590799372,452,3382,0,0,0,0,0,0
8213000,49.15931009200628,16.590811907993718,178,190,0,0,0,0,0,0
8201000,49.197816092006285,16.558775907993716,249,307,0,0,0,0,0,0
52798000,50.14927809200629,14.76344290799372,628,2791,1,0,0,1,1,0
52798000,50.14927809200629,14.76344290799372,628,2791,0,0,0,1,0,0
29332000,50.068234092006286,14.25777190799372,596,807,1,0,0,0,1,0
8741000,49.955831092006285,17.00032890799372,152,639,0,0,0,1,1,0
3508000,49.805581092006285,17.09273790799372,178,998,0,0,0,0,0,0
4094000,50.32827909200629,12.51790890799372,140,356,1,0,0,1,1,0
17540000,49.13382809200628,16.58789890799372,175,335,1,0,0,0,1,0
9961000,49.30077109200628,13.97701490799372,140,644,0,1,0,0,1,0
43294000,50.12579109200628,14.52680190799372,207,672,0,1,1,0,1,0
8496000,49.452558092006285,13.51348790799372,161,7000,1,0,0,0,1,1
24521000,49.75890809200628,13.30999290799372,274,1315,0,1,0,0,1,0
12425000,50.431504092006286,14.91089790799372,152,825,0,0,0,0,1,0
7614000,50.381570092006285,15.38993990799372,234,605,0,0,0,0,1,1
6453000,50.42301709200628,15.13436090799372,170,1235,1,0,0,1,1,0
11439000,50.360871092006285,14.51199390799372,410,531,1,0,0,1,1,0
4222000,50.33813609200628,15.28151690799372,82,1534,0,0,0,1,0,0
13492000,48.824586092006285,14.27930290799372,187,1681,0,0,0,0,1,0
5268000,48.98957209200629,14.92408990799372,117,1762,0,0,0,0,1,0
9210000,48.93511309200628,14.47684990799372,156,214,0,0,0,1,0,0
8201000,49.57547109200628,18.77080990799372,152,1037,0,0,0,0,1,1
12777000,49.94036609200628,14.30106090799372,145,354,1,0,0,1,1,0
13598000,50.02730709200628,14.69713190799372,123,440,0,1,0,0,1,0
4575000,49.208119092006285,14.17190490799372,140,1115,1,0,0,1,1,0
5749000,50.304326092006285,15.39278290799372,211,3236,1,0,1,0,1,0
3930000,50.19599609200628,15.30657690799372,134,334,0,0,0,0,1,0
15241000,48.91557409200628,14.42244990799372,204,1439,1,1,0,0,1,0
4681000,48.843442092006285,14.49865190799372,154,217,0,0,0,0,0,0
8154000,50.41275909200628,14.24337790799372,175,431,1,0,0,1,1,0
18655000,49.09181309200629,16.612141907993717,241,575,0,0,0,0,1,0
2569000,49.98176709200628,13.56226590799372,57,725,0,0,0,0,0,0
8917000,49.40903609200628,16.710606907993718,205,2461,1,0,0,1,0,0
13481000,49.97595709200628,15.36525290799372,201,700,1,1,0,0,0,0
29320000,50.15768909200628,14.39855690799372,272,641,0,0,0,0,1,0
24639000,50.18292309200629,14.51157590799372,234,763,1,0,0,1,1,0
7028000,50.44788109200629,16.199280907993717,199,748,0,0,0,0,0,0
7028000,50.44788109200629,16.199280907993717,199,748,0,0,0,0,1,0
7614000,49.65230709200628,15.76777390799372,285,1428,0,0,0,1,1,1
11111000,49.66282409200628,15.41308590799372,527,1543,1,0,0,0,1,0
12319000,48.94594309200628,14.94647190799372,375,789,1,0,0,0,1,1
16531000,50.26482509200629,14.24273090799372,327,947,1,0,0,0,1,0
25695000,49.90284409200628,14.59145490799372,192,800,1,0,0,0,0,0
15839000,50.57521509200628,15.16583890799372,516,181,0,0,1,1,0,0
2229000,50.43593709200629,14.79090590799372,82,256,0,0,0,0,0,0
16895000,50.54550709200628,15.11476790799372,299,765,1,1,0,0,1,0
14308000,50.436463092006285,14.90895790799372,192,320,1,0,0,0,1,0
16285000,50.43575009200628,14.90962690799372,193,655,1,0,0,0,1,0
16191000,49.90628909200628,14.21306390799372,206,1521,1,0,1,1,0,0
10266000,49.96193409200628,16.045614907993716,191,683,0,0,0,0,1,1
14067000,49.99680009200628,14.73523790799372,168,734,0,0,0,0,1,0
8094000,49.69158309200628,17.984262907993717,104,544,0,1,0,0,0,0
1055000,49.74679709200628,18.00759390799372,14,465,0,0,0,0,1,0
34025000,50.13843309200628,14.36361790799372,332,674,1,0,0,0,1,0
3343000,49.68099709200628,16.993866907993716,70,275,0,0,0,1,1,0
2874000,49.766088092006285,18.35272890799372,64,738,0,0,0,0,0,0
30505000,50.06498809200628,14.68265690799372,747,1539,0,0,1,0,0,0
3988000,49.66937409200628,15.89025590799372,199,354,0,0,0,0,0,0
6910000,49.46184609200628,14.81439390799372,152,1026,0,0,0,0,0,0
1607000,50.66102709200628,14.17206390799372,32,511,0,0,0,1,1,0
7028000,49.28303609200629,15.49159890799372,410,628,0,0,0,1,1,0
14666000,48.864957092006286,16.64156590799372,242,2399,0,0,0,0,1,0
1519000,50.646863092006285,14.00030290799372,36,507,0,0,0,1,0,0
19464000,50.03184609200628,14.48780290799372,140,451,0,0,0,0,1,0
7626000,50.728627092006285,14.20251090799372,316,338,1,0,0,1,0,0
8122000,50.20766209200628,14.99337990799372,113,772,0,0,0,0,0,0
5268000,49.93039409200628,14.72411490799372,64,525,0,0,1,1,0,0
9385000,50.32570009200628,14.81324790799372,154,682,0,0,0,0,0,0
1314000,50.624509092006285,14.05241490799372,83,1435,0,0,0,0,1,0
13479000,49.94110209200628,14.22036490799372,154,882,0,0,0,0,0,0
12787000,50.17432109200628,15.05340390799372,161,465,0,1,0,0,0,0
5854000,49.87924709200628,13.65416490799372,166,5254,0,0,0,0,0,0
15135000,49.48406309200628,17.437256907993717,410,3252,1,0,0,0,1,0
18174000,49.89587109200628,14.50317590799372,144,877,1,0,1,0,1,1
4106000,49.23972809200628,16.591038907993717,137,331,0,0,0,0,1,0
23465000,49.15197509200628,16.573021907993716,271,306,1,0,0,1,1,0
6910000,49.02169109200628,16.11584890799372,1000,1734,1,0,0,1,1,0
1630000,49.47178409200628,16.847673907993716,316,495,0,0,0,0,0,0
4751000,49.39880109200628,16.76361390799372,184,697,0,0,0,1,1,0
1666000,49.07847709200628,16.61561090799372,21,1033,0,0,0,0,0,0
2487000,49.674260092006286,13.50420390799372,35,597,0,0,0,1,0,0
12318000,50.205136092006285,14.52043090799372,123,281,0,0,0,0,0,0
16424000,50.115247092006285,14.67173290799372,150,286,1,1,0,0,1,0
15241000,49.576013092006285,17.170107907993717,150,455,1,1,0,0,1,0
8798000,50.040727092006286,14.17632190799372,218,138,0,0,0,0,0,0
11051000,50.31070009200628,14.40542290799372,167,205,1,1,0,1,1,0
7614000,49.52101209200628,18.14280390799372,240,697,1,0,0,1,1,0
4784000,49.64754609200628,18.77522690799372,57,270,0,0,0,1,0,0
7028000,49.73222809200628,16.169250907993717,138,812,0,1,0,0,0,0
9374000,49.74885709200628,16.47813090799372,164,378,1,0,0,1,0,0
5150000,50.04382809200628,12.95078690799372,234,1872,0,0,1,0,1,0
34612000,49.98122909200628,14.22786190799372,405,933,1,1,0,0,0,0
3390000,48.89831609200628,14.37259090799372,82,63,1,0,1,0,1,1
2170000,49.81741109200628,16.651838907993717,175,900,0,0,0,1,0,0
9033000,49.127675092006285,15.57532490799372,340,894,1,0,1,1,1,0
820000,49.94752209200628,14.39671490799372,18,300,0,0,0,0,0,0
1876000,50.09571909200629,14.61068290799372,14,308,0,0,0,0,0,0
1314000,48.97394309200628,17.343517907993718,87,121,0,0,0,0,0,0
7262000,50.78759109200628,14.43800490799372,186,346,0,0,0,1,1,0
791000,50.04984409200628,14.32613490799372,8,238,0,0,0,0,0,0
733000,49.947377092006285,14.39780890799372,17,251,0,0,0,0,0,0
6922000,49.83947909200628,18.57427490799372,164,1002,1,0,0,1,0,0
2228000,50.09885509200628,14.36939390799372,23,352,0,1,1,1,0,0
12542000,50.17966609200628,14.16600390799372,167,766,0,1,0,0,1,0
49278000,50.12421509200628,14.17619490799372,383,1399,1,0,0,0,1,0
10207000,48.999326092006285,16.79085190799372,328,540,1,0,0,1,1,0
316000,50.126203092006286,14.39861890799372,18,280,0,0,0,1,0,0
12847000,49.99293609200628,15.21771290799372,212,593,0,0,0,1,1,1
557000,50.12050309200628,14.39602690799372,18,213,0,0,0,0,0,0
29320000,49.071012092006285,16.865984907993717,445,842,1,0,1,1,1,1
16414000,49.83057909200628,14.29348790799372,170,590,0,0,0,0,1,0
22280000,49.97606409200628,14.22239390799372,175,801,0,1,0,0,0,0
22879000,50.77140509200628,15.17112090799372,166,558,0,0,0,0,1,1
31667000,50.02860009200628,14.68343290799372,451,1048,0,0,0,0,0,0
7039000,49.944253092006285,14.89581490799372,175,336,0,0,0,1,0,0
8622000,49.22425609200628,13.53304890799372,469,371,0,0,1,0,0,0
11146000,50.011239092006285,14.23085590799372,138,258,0,1,0,0,1,0
2229000,49.40555709200628,17.438646907993718,202,253,0,0,0,1,0,0
31092000,50.02995809200628,14.42903590799372,288,514,1,0,0,0,1,0
6441000,50.76688109200628,15.34445990799372,234,1618,0,0,0,1,1,0
12788000,49.72350809200629,14.29073890799372,330,1405,0,0,0,1,0,0
5807000,50.28252109200629,15.08760990799372,117,2051,0,0,0,1,0,0
6451000,50.23433009200628,15.20747190799372,91,810,1,0,0,0,1,0
5150000,50.675805092006286,15.31490990799372,287,1103,0,0,0,1,1,0
8787000,49.88088309200628,14.50570790799372,222,295,0,0,0,1,1,0
44561000,49.95558309200628,14.52671890799372,469,739,1,0,1,1,1,0
2334000,49.42717109200628,14.15432390799372,70,778,0,0,0,0,0,0
22003000,50.05203709200628,14.32967590799372,177,158,0,1,0,0,1,0
25225000,50.05203709200628,14.32967590799372,168,359,1,1,0,0,1,0
17587000,50.795247092006285,15.05977590799372,146,1228,0,0,0,0,1,0
12894000,49.54357609200628,13.90310490799372,160,2767,0,1,0,1,0,0
16297000,49.69034709200629,14.12943290799372,215,1039,1,0,0,1,1,0
4329000,49.02655109200628,16.92930890799372,281,391,1,0,0,1,0,0
5279000,49.21140009200628,17.75862990799372,109,270,1,0,0,1,1,0
6429000,49.19806009200628,17.535471907993717,129,200,0,0,0,1,1,1
11615000,49.20573909200628,17.651106907993718,305,600,1,0,0,1,0,0
4927000,49.21952509200628,17.69989090799372,117,200,0,0,0,1,1,0
2334000,49.37280409200629,13.03689790799372,410,840,1,0,0,1,0,0
31840000,50.12338409200628,14.33836490799372,317,864,0,1,0,0,1,0
15135000,50.01832709200628,14.28297990799372,122,190,0,0,0,0,1,0
8787000,50.00684509200628,14.88047690799372,211,1432,1,0,0,1,1,0
10547000,50.776155092006285,14.47926590799372,329,2813,0,0,0,1,1,0
8003000,50.357595092006285,14.97406390799372,113,855,0,0,0,0,0,0
15460000,50.23147309200628,14.66814390799372,163,805,0,0,0,0,0,0
12787000,50.11958809200628,15.07749190799372,161,465,0,1,0,0,0,0
20532000,49.17262409200628,16.50262690799372,217,707,1,1,0,1,1,0
645000,50.55298009200628,14.66725590799372,17,1,0,0,0,0,0,0
55144000,50.05962509200628,14.10647590799372,727,3997,1,0,0,0,1,0
3285000,49.742265092006285,18.14236290799372,18,1219,0,0,0,0,0,0
17599000,49.78706509200628,13.31892490799372,140,694,0,1,1,0,1,0
7028000,49.93052009200628,14.81845590799372,185,282,1,0,0,1,1,0
12894000,50.06077709200628,15.09013190799372,185,1277,1,1,0,0,1,0
569000,50.161790092006285,15.02957490799372,18,255,0,0,0,0,0,0
7626000,50.15329809200628,15.01343990799372,152,581,0,0,0,1,1,0
13938000,49.07066109200628,16.70597390799372,252,268,1,1,0,0,0,0
6089000,49.130464092006285,17.079412907993717,369,1850,0,0,0,1,1,0
6089000,49.13937509200628,17.09268290799372,369,1850,0,0,0,1,1,0
8600000,50.11837509200628,14.02397890799372,96,502,0,0,0,0,1,0
10090000,50.11837509200628,14.02397890799372,137,500,0,0,0,0,1,0
4809000,48.91049309200629,15.95697390799372,187,536,0,0,0,1,0,1
8211000,48.77365609200629,16.033626907993717,147,300,0,1,0,0,1,0
8799000,48.791642092006285,16.116241907993718,251,800,1,0,0,0,0,0
1877000,50.75826409200628,15.07018190799372,12,290,0,0,0,0,0,0
700000,49.96354009200628,14.40498890799372,35,350,0,0,0,0,0,0
1273000,48.967347092006285,16.33556990799372,400,400,1,0,0,1,1,0
2651000,49.31824609200629,13.55544590799372,107,91,0,0,0,1,0,0
14067000,49.293004092006285,14.15673790799372,163,395,1,0,0,1,0,0
8095000,48.88713909200628,14.58128390799372,103,644,1,0,0,0,1,0
8213000,50.20371709200628,14.14711590799372,258,285,0,0,0,1,0,0
410000,49.64873209200629,17.881019907993718,258,336,0,0,0,0,0,0
9961000,49.88858109200629,14.49123690799372,190,554,0,0,0,0,1,0
17540000,50.74610609200628,15.10308990799372,140,800,0,0,0,0,1,0
22843000,49.97102109200628,14.68201390799372,240,792,1,0,0,1,1,0
4810000,49.14372409200628,17.196094907993718,134,2218,1,0,1,0,1,0
29214000,50.13388509200628,14.11088690799372,647,140,0,0,1,1,0,0
16308000,50.14853409200628,14.83675490799372,207,1107,0,0,0,0,1,0
19816000,50.07412809200628,14.60934290799372,258,546,1,0,0,1,1,0
4399000,49.88754809200629,18.50068590799372,197,1510,0,0,0,1,1,0
4165000,50.47029209200628,16.167616907993718,146,842,1,0,0,1,0,0
5800000,49.86705909200628,14.42982990799372,42,1635,0,0,0,0,1,0
22761000,50.05302109200628,14.52621790799372,179,358,1,0,0,1,1,0
10547000,50.45782609200628,14.95633490799372,222,931,1,0,1,1,1,1
14067000,50.21781309200628,14.49348490799372,150,652,0,0,0,0,1,0
2229000,50.177522092006285,13.75691090799372,152,229,0,0,0,0,1,0
7274000,50.27088609200628,14.17689990799372,208,180,0,0,0,1,1,0
15814000,50.16291909200629,14.56284190799372,109,853,1,0,0,1,1,0
9374000,50.358884092006285,14.45798490799372,149,436,1,1,0,0,1,0
19582000,50.00104209200628,14.68699890799372,138,615,0,1,1,0,1,0
19582000,50.003961092006286,14.66832490799372,138,615,0,1,1,0,1,0
12073000,50.32831709200628,14.51135590799372,149,377,1,1,0,0,1,0
9972000,49.15691509200628,16.524000907993717,112,1600,0,0,0,0,0,0
11521000,50.754586092006285,14.77005690799372,319,976,0,0,1,1,0,0
8435000,50.50782109200628,15.42625490799372,281,8505,1,0,0,1,0,0
1994000,49.808232092006286,17.309688907993717,269,926,0,0,0,1,0,0
11498000,49.95356909200628,14.09627090799372,289,2103,0,0,0,0,0,0
11369000,50.084062092006285,16.996632907993718,351,1851,0,0,1,1,1,0
3508000,49.88248509200629,13.63258990799372,151,988,0,0,0,0,0,0
9679000,50.33876509200629,14.48584090799372,234,563,0,0,0,0,1,0
2898000,49.82570409200628,17.028849907993717,156,1848,1,0,0,1,1,0
6255000,50.07137409200628,16.775276907993717,286,349,1,0,1,1,0,0
12495000,50.02085209200628,14.23655990799372,140,975,1,0,0,1,0,0
33908000,49.89528809200628,14.56895890799372,265,530,1,1,0,1,1,0
27865000,50.10382209200628,14.30910390799372,234,800,1,1,0,0,0,0
14419000,50.25689009200628,14.57323290799372,157,915,0,0,0,0,1,0
9843000,49.85801409200628,14.66196390799372,211,1200,1,0,0,1,1,0
16414000,50.19230809200628,15.80507290799372,187,340,1,1,0,0,1,0
6803000,49.317857092006285,16.61028390799372,269,1830,1,0,0,1,1,0
5866000,50.47537009200628,14.93201590799372,386,686,1,0,0,0,1,0
8787000,50.60106409200628,15.52569890799372,267,786,1,0,0,1,0,0
6441000,49.60678609200628,15.60033690799372,82,523,0,0,0,1,1,0
7272000,50.15963109200628,16.36099690799372,113,932,0,0,0,0,0,0
18735000,50.75091309200628,15.02672990799372,234,2947,0,0,0,0,0,0
11111000,49.577634092006285,17.297205907993717,397,131,0,0,0,1,0,0
3508000,50.15673509200628,14.43878190799372,85,83,0,0,0,0,0,0
2581000,49.88942109200628,14.81309790799372,41,481,0,0,0,0,1,0
4006000,49.63446509200628,14.85881690799372,117,447,1,0,1,1,1,0
9961000,50.60107909200628,14.09289090799372,242,867,0,0,1,1,1,0
34142000,50.10984509200628,14.49362890799372,415,380,1,0,0,0,0,0
10910000,49.26350509200629,13.16511690799372,410,1228,1,0,1,0,0,0
4575000,49.218968092006286,13.52219390799372,175,306,0,0,0,0,0,0
8037000,49.73097309200628,12.70245990799372,299,3454,0,0,0,1,0,0
11603000,49.157746092006285,13.46628390799372,268,3000,1,1,0,1,1,0
8553000,50.19668309200628,15.30858090799372,171,562,0,0,0,1,0,1
52786000,50.213655092006285,14.48845890799372,457,1200,1,0,0,0,1,0
35186000,49.98945309200628,14.58038190799372,394,1219,0,0,0,1,1,0
12073000,49.84986209200628,18.34054790799372,293,1909,1,0,0,1,0,0
40009000,50.00239309200628,14.55722190799372,240,500,1,1,0,0,1,0
11451000,50.07485309200628,14.61466490799372,281,488,1,0,0,1,1,0
15123000,50.32597109200629,14.97603190799372,221,718,0,1,0,0,0,0
3860000,49.87785109200628,15.50026090799372,65,184,0,1,0,0,1,0
9914000,49.16617309200628,15.46622090799372,551,1587,1,0,0,1,0,0
6101000,50.66070309200628,13.81638590799372,256,764,1,0,0,1,0,0
10266000,48.84179409200628,16.491493907993718,173,683,0,1,0,0,1,0
11615000,49.21442109200628,15.50857990799372,249,2580,1,0,0,0,1,1
11498000,49.80058409200628,14.43108990799372,79,693,0,0,1,0,1,0
12202000,49.89079009200629,14.05139690799372,146,744,0,0,0,1,1,1
9374000,50.64597009200628,13.86027090799372,134,513,0,0,0,0,1,1
7215000,49.455865092006285,17.07873790799372,111,116,0,0,1,0,1,1
7039000,49.41871709200628,17.084642907993718,255,742,1,0,0,0,1,0
11322000,50.22125709200628,14.39843690799372,150,450,0,1,0,0,1,0
15241000,49.854764092006285,14.27349090799372,177,374,0,1,0,0,1,0
8787000,49.96785809200628,13.49157390799372,165,430,0,1,0,0,1,0
8711000,49.96785809200628,13.49157390799372,165,387,0,1,0,0,0,0
19347000,49.73265209200628,13.61037690799372,509,635,0,0,0,0,0,0
11134000,49.73265209200628,13.61037690799372,292,472,0,0,0,0,0,0
20520000,49.77946609200628,12.66017090799372,876,5421,0,0,0,1,0,0
5819000,49.26114009200628,16.447416907993716,175,670,0,0,0,0,0,0
2334000,49.96310109200628,13.17635990799372,44,459,0,0,0,0,0,0
9714000,49.49411909200628,17.000513907993717,221,860,1,0,0,0,0,0
7533000,50.763299092006285,15.05390290799372,293,740,0,0,0,1,1,0
20743000,49.980397092006285,14.21792890799372,186,998,1,1,0,0,1,0
8189000,49.91018809200628,13.42549290799372,151,564,0,1,0,0,1,0
12648000,50.278184092006285,14.83553290799372,308,584,0,0,1,1,1,0
4094000,50.15267309200628,13.99843290799372,70,265,0,0,0,1,1,0
1466000,50.07066809200628,13.01863290799372,140,1218,0,0,0,0,0,0
23993000,49.905801092006286,14.64401790799372,301,1614,1,1,0,1,1,0
